# x1, y1, z1, x2, y2, z2, x3, y3, z3
-0.35236,0,1.05061,0.884411,0,-0.00755719,1.46795,0,0.956943
-0.350477,0,1.05605,0.890265,0,-0.0151403,1.46021,0,0.959091
-0.337969,0,1.05307,0.883093,0,-0.020069,1.45488,0,0.966996
-0.316492,0,1.04268,0.864632,0,-0.0225877,1.45186,0,0.979907
-0.289238,0,1.02713,0.838221,0,-0.0237573,1.45102,0,0.996628
-0.260264,0,1.00951,0.808194,0,-0.0251761,1.45207,0,1.01566
-0.233694,0,0.993219,0.77913,0,-0.0285658,1.45456,0,1.03535
-0.212967,0,0.981301,0.755124,0,-0.0352982,1.45784,0,1.054
-0.200305,0,0.975945,0.739188,0,-0.0459584,1.46112,0,1.07001
-0.196467,0,0.97807,0.732907,0,-0.0600561,1.46356,0,1.08199
-0.20079,0,0.987179,0.736352,0,-0.0759815,1.46444,0,1.0888
-0.211459,0,1.00151,0.748223,0,-0.0912519,1.46324,0,1.08974
-0.225903,0,1.01842,0.766169,0,-0.103008,1.45973,0,1.08459
-0.241274,0,1.03497,0.787215,0,-0.108645,1.45406,0,1.07368
-0.254924,0,1.04844,0.80824,0,-0.106421,1.44668,0,1.05798
-0.264833,0,1.05689,0.826447,0,-0.0958874,1.43839,0,1.03899
-0.269925,0,1.05939,0.839727,0,-0.0780536,1.4302,0,1.01867
-0.270205,0,1.05609,0.846897,0,-0.055232,1.42331,0,0.999139
-0.266699,0,1.04813,0.847743,0,-0.0306211,1.41896,0,0.982496
-0.261196,0,1.03725,0.842915,0,-0.00772031,1.41828,0,0.970471
-0.255851,0,1.0255,0.833701,0,0.0102849,1.42215,0,0.964213
-0.252721,0,1.01482,0.821743,0,0.0210421,1.43098,0,0.964141
-0.253337,0,1.00672,0.808753,0,0.0233728,1.44458,0,0.969911
-0.258389,0,1.0021,0.79626,0,0.0174083,1.46213,0,0.980497
-0.267605,0,1.00113,0.785425,0,0.00453399,1.48218,0,0.994338
-0.279826,0,1.00329,0.77694,0,-0.0128353,1.50289,0,1.00954
-0.293262,0,1.00751,0.771038,0,-0.0316274,1.52222,0,1.02412
-0.305856,0,1.01241,0.767577,0,-0.0485954,1.53828,0,1.03619
-0.315687,0,1.01659,0.766195,0,-0.0608481,1.54949,0,1.04426
-0.321316,0,1.01897,0.766467,0,-0.0663352,1.55485,0,1.04737
-0.322044,0,1.01899,0.768037,0,-0.0641905,1.55401,0,1.0452
-0.318007,0,1.01671,0.770699,0,-0.0548613,1.54731,0,1.03815
-0.310127,0,1.01278,0.774405,0,-0.0399979,1.53572,0,1.02721
-0.299921,0,1.00827,0.779205,0,-0.0221328,1.52072,0,1.01386
-0.289195,0,1.00439,0.785146,0,-0.00422297,1.50405,0,0.999833
-0.279701,0,1.00225,0.792157,0,0.0108478,1.48754,0,0.986903
-0.272803,0,1.00261,0.799952,0,0.0207155,1.47285,0,0.976673
-0.269226,0,1.00574,0.807985,0,0.0238675,1.46124,0,0.97039
-0.268944,0,1.01136,0.815478,0,0.0198277,1.45347,0,0.968812
-0.271217,0,1.01868,0.821512,0,0.00918925,1.44971,0,0.972129
-0.274778,0,1.02655,0.825167,0,-0.0065026,1.44961,0,0.979951
-0.278117,0,1.03364,0.825695,0,-0.0250038,1.45242,0,0.99136
-0.279804,0,1.0387,0.822681,0,-0.0437358,1.45712,0,1.00504
-0.27879,0,1.04077,0.816174,0,-0.0602077,1.46262,0,1.01944
-0.274619,0,1.03941,0.806751,0,-0.0724225,1.46787,0,1.03301
-0.267516,0,1.0348,0.795486,0,-0.0791861,1.47203,0,1.04439
-0.258353,0,1.02774,0.783832,0,-0.0802569,1.47452,0,1.05252
-0.248484,0,1.0195,0.773423,0,-0.0763074,1.47506,0,1.0568
-0.239507,0,1.01161,0.765823,0,-0.0687144,1.47368,0,1.0571
-0.232974,0,1.00553,0.762276,0,-0.0592295,1.4707,0,1.0537
-0.230118,0,1.00241,0.763495,0,-0.0496111,1.46662,0,1.0472
-0.231618,0,1.00282,0.769517,0,-0.0412979,1.4621,0,1.03848
