le tissu est cohérent yey
# x1, y1, z1, x2, y2, z2, x3, y3, z3
-0.730685,-5.17191,0,-2,0,0,0.5,0,0
-0.737388,-5.14671,0,-2,0,0,0.5,0,0
-0.743737,-5.12309,0,-2,0,0,0.5,0,0
-0.749633,-5.10174,0,-2,0,0,0.5,0,0
-0.755001,-5.08321,0,-2,0,0,0.5,0,0
-0.759782,-5.0679,0,-2,0,0,0.5,0,0
-0.763932,-5.05606,0,-2,0,0,0.5,0,0
-0.767428,-5.04779,0,-2,0,0,0.5,0,0
-0.770259,-5.04306,0,-2,0,0,0.5,0,0
-0.77243,-5.04171,0,-2,0,0,0.5,0,0
-0.773958,-5.04349,0,-2,0,0,0.5,0,0
-0.774871,-5.04805,0,-2,0,0,0.5,0,0
-0.775206,-5.05497,0,-2,0,0,0.5,0,0
-0.775008,-5.06379,0,-2,0,0,0.5,0,0
-0.77433,-5.07403,0,-2,0,0,0.5,0,0
-0.773228,-5.0852,0,-2,0,0,0.5,0,0
-0.771762,-5.09682,0,-2,0,0,0.5,0,0
-0.769993,-5.10843,0,-2,0,0,0.5,0,0
-0.767985,-5.11964,0,-2,0,0,0.5,0,0
-0.765797,-5.13006,0,-2,0,0,0.5,0,0
-0.763491,-5.13942,0,-2,0,0,0.5,0,0
-0.761123,-5.14747,0,-2,0,0,0.5,0,0
-0.758745,-5.15406,0,-2,0,0,0.5,0,0
-0.756408,-5.15907,0,-2,0,0,0.5,0,0
-0.754154,-5.16247,0,-2,0,0,0.5,0,0
-0.75202,-5.1643,0,-2,0,0,0.5,0,0
-0.75004,-5.16462,0,-2,0,0,0.5,0,0
-0.748239,-5.16357,0,-2,0,0,0.5,0,0
-0.746637,-5.1613,0,-2,0,0,0.5,0,0
-0.745249,-5.15802,0,-2,0,0,0.5,0,0
-0.744083,-5.15391,0,-2,0,0,0.5,0,0
-0.743142,-5.14922,0,-2,0,0,0.5,0,0
-0.742426,-5.14415,0,-2,0,0,0.5,0,0
-0.741926,-5.13892,0,-2,0,0,0.5,0,0
-0.741635,-5.13372,0,-2,0,0,0.5,0,0
-0.741539,-5.12875,0,-2,0,0,0.5,0,0
-0.741621,-5.12416,0,-2,0,0,0.5,0,0
-0.741865,-5.12006,0,-2,0,0,0.5,0,0
-0.742249,-5.11657,0,-2,0,0,0.5,0,0
-0.742755,-5.11376,0,-2,0,0,0.5,0,0
-0.743359,-5.11165,0,-2,0,0,0.5,0,0
-0.744042,-5.11026,0,-2,0,0,0.5,0,0
-0.744783,-5.10958,0,-2,0,0,0.5,0,0
-0.74556,-5.10956,0,-2,0,0,0.5,0,0
-0.746357,-5.11015,0,-2,0,0,0.5,0,0
-0.747153,-5.11126,0,-2,0,0,0.5,0,0
-0.747935,-5.11282,0,-2,0,0,0.5,0,0
-0.748687,-5.11472,0,-2,0,0,0.5,0,0
-0.749397,-5.11687,0,-2,0,0,0.5,0,0
-0.750054,-5.11917,0,-2,0,0,0.5,0,0
-0.750651,-5.12152,0,-2,0,0,0.5,0,0
-0.75118,-5.12384,0,-2,0,0,0.5,0,0
-0.751637,-5.12604,0,-2,0,0,0.5,0,0
-0.75202,-5.12807,0,-2,0,0,0.5,0,0
-0.752328,-5.12985,0,-2,0,0,0.5,0,0
-0.752561,-5.13136,0,-2,0,0,0.5,0,0
-0.752721,-5.13257,0,-2,0,0,0.5,0,0
-0.752812,-5.13345,0,-2,0,0,0.5,0,0
-0.752838,-5.13401,0,-2,0,0,0.5,0,0
